IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
52.217.69.246,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17049,16,7446,25,9603
52.217.72.246,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,44,17303,19,7608,25,9695
52.217.80.14,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17327,18,7554,24,9773
52.217.99.86,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17350,18,7554,25,9796
52.86.188.143,"None","None","None","None","AMAZON-AES, US","US",afnmeajrvu9n4-ats.iot.us-east-1.amazonaws.com,afnmeajrvu9n4-ats.iot.us-east-1.amazonaws.com,None,None,9114,807321,3124,313879,5990,493442
54.159.6.195,"None","None","None","None","AMAZON-AES, US","US",afnmeajrvu9n4-ats.iot.us-east-1.amazonaws.com,afnmeajrvu9n4-ats.iot.us-east-1.amazonaws.com,None,None,387,41863,143,20098,244,21765
54.164.166.158,"None","None","None","None","AMAZON-AES, US","US",None,None,None,None,11748,1018634,3985,385154,7763,633480
54.165.174.134,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,276,90632,116,72996,160,17636
54.221.201.39,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,246,81390,102,65526,144,15864
54.223.118.211,"None","None","None","None","BJ-GUANGHUAN-AP Beijing Guanghuan Xinwang Digital, CN","CN",None,None,None,None,37,13800,18,11178,19,2622
54.231.131.72,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17437,17,7500,25,9937
54.231.132.32,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17234,18,7554,25,9680
54.231.161.240,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,16982,17,7500,26,9482
54.231.162.56,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17366,16,7446,25,9920
54.231.170.240,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17033,18,7554,25,9479
54.231.202.120,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17338,16,7446,25,9892
54.231.226.184,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,16970,16,7446,25,9524
54.231.229.72,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17278,17,7500,25,9778
54.231.230.144,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17194,18,7554,25,9640
54.84.154.83,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,289,91398,118,73104,171,18294
54.86.175.178,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,302,99562,126,80190,176,19372
54.89.54.2,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,75,21286,32,16411,43,4875
8.8.4.4,"None","None","None","None","GOOGLE, US","US",None,None,None,None,136,15817,68,10541,68,5276
8.8.8.8,"None","None","None","None","GOOGLE, US","US",None,None,None,None,120,13086,60,8465,60,4621
9.9.9.9,"None","None","None","None","QUAD9-AS-1, CH","CH",None,None,None,None,342,39860,171,26571,171,13289
98.82.204.13,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,227,67488,93,53119,134,14369
192.168.3.1,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,278203,62259862,138864,40713336,139339,21546526
192.168.3.114,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,220826,46634355,130643,39117054,90183,7517301
239.255.255.250,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,6773,1211739,0,0,6773,1211739
