IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
2620:0:5301:2210:4092:53e4:99d1:f108,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,4561,1423080,2506,554510,2055,868570
2620:0:5301:2210:454d:c193:462b:f71c,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,25480,5732560,14280,2966758,11200,2765802
2620:0:5301:2210:5447:ac25:6682:e076,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,23391,6749573,12442,2141945,10949,4607628
2620:0:5301:2210:6010:9ee0:5b67:be83,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,22945,6333038,11842,2201316,11103,4131722
2620:0:5301:2210:6573:8e4:eb9a:9859,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,19472,4527681,10677,2169660,8795,2358021
2620:0:5301:2210:693b:8b81:cf03:2827,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,22019,5011302,12113,2458672,9906,2552630
2620:0:5301:2210:70c5:157:452d:dda3,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,19242,3549049,10178,1825260,9064,1723789
2620:0:5301:2210:80b1:357e:1b3:bfd5,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,22360,6413410,11612,2242874,10748,4170536
2620:0:5301:2210:8d39:66f:bc49:2ff6,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,23224,6351260,12044,2214312,11180,4136948
2620:0:5301:2210:b010:d685:69e4:60c0,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,51,24530,38,22848,13,1682
2620:0:5301:2210:b5c8:8286:769:3923,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,21091,5657160,11071,2115957,10020,3541203
2620:0:5301:2210:b9e1:9db5:574d:b199,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,21707,6253742,11211,2158197,10496,4095545
2620:0:5301:2210:c12c:20c:fc53:6554,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,19717,4492839,10709,2123296,9008,2369543
2620:0:5301:2210:cd8f:5ea7:debe:72d7,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,18980,4236958,10132,1940988,8848,2295970
2620:0:5301:2210:d0eb:819c:7193:74f7,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,18031,5158554,9417,1819699,8614,3338855
2620:0:5301:2210:d837:4265:fcf4:a374,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,2113,943721,1091,248647,1022,695074
2620:0:5301:2210:d84e:e842:57fc:6dca,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,24053,5327175,13208,2648234,10845,2678941
2620:0:5301:2210:e034:d9d7:cb13:bab9,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,23188,6373531,12008,2187503,11180,4186028
2620:0:5301:2210:e047:f8ff:c884:fa0a,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,17493,3998470,10478,2264163,7015,1734307
2620:0:5301:2210:ec0c:3098:c2aa:81aa,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,5272,1517049,2907,622432,2365,894617
8.8.8.8,"None","None","None","None","GOOGLE, US","US",None,None,None,None,56880,7124915,27467,4903233,29413,2221682
fe80::d6f5:47ff:fe82:ec6,"None","None","None","None","NA","",None,None,None,None,2,188,2,188,0,0
192.168.1.1,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,1980,165160,40,4440,1940,160720
224.0.0.250,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,11046,960986,0,0,11046,960986
224.0.0.251,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,45801,8621599,0,0,45801,8621599
239.255.255.251,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,11061,962261,0,0,11061,962261
fe80::d6f5:47ff:fe82:ec6,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,45794,9809002,45794,9809002,0,0
ff02::fb,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,45794,9809002,0,0,45794,9809002
